ID,betingelse,item,svar,svartid,maksimalafvigelser
31,6,23,1,1.23,0.21416
31,6,27,1,3.09,0.96964
31,6,31,1,2.41,0.82632
31,7,20,1,3.76,0.95972
31,7,24,0,2.70,0.64653
31,7,28,0,1.73,0.02804
31,7,32,0,3.85,1.05061
31,8,18,0,1.37,0.69036
31,8,22,0,4.01,0.25506
31,8,26,0,2.91,0.22166
31,8,30,1,3.17,0.72770
32,1,2,1,2.88,0.02464
32,1,6,1,3.41,0.99509
32,1,10,1,1.79,-0.30866
32,1,14,1,1.53,0.67647
32,2,4,0,1.78,0.09962
32,2,8,0,1.32,0.04858
32,2,12,0,1.81,0.93888
32,2,16,1,3.69,0.97457
32,3,1,1,2.27,0.50197
32,3,5,0,3.79,1.02142
32,3,9,0,4.58,1.06015
32,3,13,1,1.69,1.02799
32,4,3,0,4.36,1.02448
32,4,7,0,1.68,-0.07840
32,4,11,1,2.54,0.15665
32,4,15,0,3.96,0.94810
32,5,18,0,1.69,-0.18398
32,5,22,0,1.75,1.04208
32,5,26,0,1.88,0.84995
32,5,30,0,2.03,0.48583
32,6,20,1,1.60,0.72569
32,6,24,1,2.30,0.33745
32,6,28,1,1.75,-0.18151
32,6,32,1,1.66,0.26153
32,7,17,0,4.35,0.91604
32,7,21,0,3.81,1.07388
32,7,25,0,1.71,0.91477
32,7,29,0,3.19,0.78554
32,8,19,0,2.73,0.60645
32,8,23,0,2.12,0.04769
32,8,27,0,4.35,0.88501
32,8,31,0,4.74,0.48206
33,1,3,1,1.90,0.02165
33,1,7,1,2.52,0.06260
33,1,11,1,4.92,0.63128
33,1,15,1,1.90,0.04073
33,2,1,1,1.90,0.09171
33,2,5,1,1.62,0.05830
33,2,9,0,6.64,1.07081
33,2,13,0,2.67,0.15890
33,3,2,1,6.26,0.86576
33,3,6,1,3.46,0.02218
33,3,10,1,2.42,0.09886
33,3,14,1,1.82,0.04346
33,4,4,0,2.64,0.07611
33,4,8,0,7.42,0.13511
33,4,12,0,2.18,0.05350
33,4,16,1,6.11,0.06312
33,5,19,0,1.88,0.17429
33,5,23,0,2.90,0.03096
33,5,27,0,2.92,0.08071
33,5,31,0,2.32,0.23036
33,6,17,1,3.61,-0.14627
33,6,21,1,5.58,0.85341
33,6,25,0,5.64,0.92021
33,6,29,1,1.72,-0.19359
33,7,18,0,1.92,-0.12016
33,7,22,1,1.79,-0.16093
33,7,26,0,2.06,0.09889
33,7,30,0,2.72,0.14673
33,8,20,0,4.97,-0.03117
33,8,24,0,3.01,0.17463
33,8,28,0,7.17,0.99458
33,8,32,0,6.77,0.82972
34,1,4,1,3.82,-0.36905
34,1,8,1,1.89,0.75037
34,1,12,1,2.74,-0.31417
34,1,16,1,1.65,0.66001
34,2,2,0,1.58,0.82492
34,2,6,1,2.17,0.99186
34,2,10,1,3.32,1.07103
34,2,14,1,1.87,-0.17072
34,3,3,1,2.24,0.90683
34,3,7,1,3.85,1.09193
34,3,11,1,2.67,1.00825
34,3,15,1,2.23,-0.13490
34,4,1,0,1.49,-0.57949
